danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.907,0.399,8,-10.006,1,0.531,0.202,0,0.0901,0.166,124.049,"audio_features","3c07DysJxMo8Y5WWJ3RSZi","spotify:track:3c07DysJxMo8Y5WWJ3RSZi","https://api.spotify.com/v1/tracks/3c07DysJxMo8Y5WWJ3RSZi","https://api.spotify.com/v1/audio-analysis/3c07DysJxMo8Y5WWJ3RSZi",189224,4
0.63,0.842,1,-5.636,0,0.316,0.000954,0,0.362,0.634,84.942,"audio_features","629TRAVD61y1ZVNl9EOfEE","spotify:track:629TRAVD61y1ZVNl9EOfEE","https://api.spotify.com/v1/tracks/629TRAVD61y1ZVNl9EOfEE","https://api.spotify.com/v1/audio-analysis/629TRAVD61y1ZVNl9EOfEE",191869,4
0.62,0.582,10,-8.689,0,0.101,0.0676,0.00000198,0.115,0.602,80.07,"audio_features","6tPDalwocS7zgeFpYi3xtr","spotify:track:6tPDalwocS7zgeFpYi3xtr","https://api.spotify.com/v1/tracks/6tPDalwocS7zgeFpYi3xtr","https://api.spotify.com/v1/audio-analysis/6tPDalwocS7zgeFpYi3xtr",270227,4
0.104,0.00396,0,-35.954,1,0.0425,0.987,0.872,0.0741,0.0348,171.9,"audio_features","1pNVPDpgKtYZuGmVtu7mu7","spotify:track:1pNVPDpgKtYZuGmVtu7mu7","https://api.spotify.com/v1/tracks/1pNVPDpgKtYZuGmVtu7mu7","https://api.spotify.com/v1/audio-analysis/1pNVPDpgKtYZuGmVtu7mu7",411560,4
0.828,0.569,11,-4.85,1,0.0622,0.0279,0.00000658,0.143,0.672,153.989,"audio_features","0SyXvJ6uRArVWHXUyi3FKO","spotify:track:0SyXvJ6uRArVWHXUyi3FKO","https://api.spotify.com/v1/tracks/0SyXvJ6uRArVWHXUyi3FKO","https://api.spotify.com/v1/audio-analysis/0SyXvJ6uRArVWHXUyi3FKO",301453,4
0.784,0.583,10,-8.691,0,0.339,0.0814,0,0.136,0.418,109.239,"audio_features","2YzvqgbG4VZpmoGZpBTQOF","spotify:track:2YzvqgbG4VZpmoGZpBTQOF","https://api.spotify.com/v1/tracks/2YzvqgbG4VZpmoGZpBTQOF","https://api.spotify.com/v1/audio-analysis/2YzvqgbG4VZpmoGZpBTQOF",258547,4
0.469,0.819,4,-4.555,1,0.22,0.0586,0.00035,0.108,0.341,164.858,"audio_features","1MY4HVXfBkUg1mUjmCjznI","spotify:track:1MY4HVXfBkUg1mUjmCjznI","https://api.spotify.com/v1/tracks/1MY4HVXfBkUg1mUjmCjznI","https://api.spotify.com/v1/audio-analysis/1MY4HVXfBkUg1mUjmCjznI",379947,4
0.703,0.616,1,-7.598,1,0.175,0.524,0,0.348,0.485,68.546,"audio_features","3FsR3a2GxUmEwnpCy8kQfj","spotify:track:3FsR3a2GxUmEwnpCy8kQfj","https://api.spotify.com/v1/tracks/3FsR3a2GxUmEwnpCy8kQfj","https://api.spotify.com/v1/audio-analysis/3FsR3a2GxUmEwnpCy8kQfj",295642,4
0.887,0.535,5,-5.368,0,0.139,0.0201,0,0.136,0.119,130.059,"audio_features","4yJ61FeTLi14BHzJXzurPi","spotify:track:4yJ61FeTLi14BHzJXzurPi","https://api.spotify.com/v1/tracks/4yJ61FeTLi14BHzJXzurPi","https://api.spotify.com/v1/audio-analysis/4yJ61FeTLi14BHzJXzurPi",151307,4
0.782,0.511,9,-7.54,1,0.323,0.718,0.000405,0.0778,0.204,147.993,"audio_features","0JfYChEWXl6fkNyBxP2oGQ","spotify:track:0JfYChEWXl6fkNyBxP2oGQ","https://api.spotify.com/v1/tracks/0JfYChEWXl6fkNyBxP2oGQ","https://api.spotify.com/v1/audio-analysis/0JfYChEWXl6fkNyBxP2oGQ",169645,4
0.707,0.631,5,-8.066,0,0.113,0.0088,0.000127,0.11,0.183,108.974,"audio_features","44ZWfYPt3AQJAfg4Ned0ue","spotify:track:44ZWfYPt3AQJAfg4Ned0ue","https://api.spotify.com/v1/tracks/44ZWfYPt3AQJAfg4Ned0ue","https://api.spotify.com/v1/audio-analysis/44ZWfYPt3AQJAfg4Ned0ue",230907,4
0.939,0.594,9,-6.838,1,0.169,0.063,0,0.106,0.43,134.999,"audio_features","68Sxbmub4GZAF48w49CZDA","spotify:track:68Sxbmub4GZAF48w49CZDA","https://api.spotify.com/v1/tracks/68Sxbmub4GZAF48w49CZDA","https://api.spotify.com/v1/audio-analysis/68Sxbmub4GZAF48w49CZDA",200613,4
0.783,0.464,2,-9.717,1,0.113,0.222,0.0334,0.111,0.248,106.018,"audio_features","6VWzk81ssjLIDz2KrRL8yr","spotify:track:6VWzk81ssjLIDz2KrRL8yr","https://api.spotify.com/v1/tracks/6VWzk81ssjLIDz2KrRL8yr","https://api.spotify.com/v1/audio-analysis/6VWzk81ssjLIDz2KrRL8yr",244978,4
0.794,0.666,1,-4.027,0,0.343,0.631,0,0.162,0.487,141.993,"audio_features","1IbeTCmfz5GQ1Y07CH4vCm","spotify:track:1IbeTCmfz5GQ1Y07CH4vCm","https://api.spotify.com/v1/tracks/1IbeTCmfz5GQ1Y07CH4vCm","https://api.spotify.com/v1/audio-analysis/1IbeTCmfz5GQ1Y07CH4vCm",132676,4
